headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
,,,,apart from,"...から離れて / ...は別として, ...を除いては / ...はさておき / ...に加えて",,"...から離れて / ...は別として, ...を除いては / ...はさておき / ...に加えて",/əˈpɑːt frɒm/,239592,"Apart from the weather, it was a good picnic.",天気は別として、それは楽しいピクニックだった。,50221
,,,,call for,"を必要とする / を要求する, を声をあげて求める / ...を求めて電話する / ...を迎えに行く / ...を予報する",,"を必要とする / を要求する, を声をあげて求める / ...を求めて電話する / ...を迎えに行く / ...を予報する",/kɔːl fɔːr/,239593,I call for your assistance.,あなたの助けを求めます。,3007109
,,,,come out,【句動詞】登場する、出てくる,,【句動詞】登場する、出てくる,/kʌm aʊt/,239597,I can't wait for the new movie to come out.,新しい映画が出るのが待ちきれません。,3007115
,,,,on the way," 《...に》行く途中で；出発するところで《to ...》 / もうすぐで, じきに / 途中で /もうすぐ生まれる予定で",," 《...に》行く途中で；出発するところで《to ...》 / もうすぐで, じきに / 途中で /もうすぐ生まれる予定で",/ɒn ðə weɪ/,239621,I saw a beautiful sunset on the way to the beach.,ビーチに行く途中で美しい夕日を見ました。,3007133
,,,,so far,"今までのところ, これまでのところ",,"今までのところ, これまでのところ",/səʊ fɑː/,239623,I have studied hard so far.,今まで一生懸命勉強してきました。,3007136
,,,,at the moment,"目下, ちょうど今 / 《過去形と共に》ちょうどその時",,"目下, ちょうど今 / 《過去形と共に》ちょうどその時",/æt ðə ˈmoʊmənt/,239625,I am busy at the moment.,私は目下忙しいです。,3007138
,,,,as though,"まるで...であるかのように, まるで...するかのように",,"まるで...であるかのように, まるで...するかのように",/æz ðoʊ/,239626,She smiled as though she had won the lottery.,彼女はまるで宝くじに当たったかのように微笑んだ。,3007139
,,,,over there,"そちらに, そちらで, あそこに, あそこで / その国に,その国で",,"そちらに, そちらで, あそこに, あそこで / その国に,その国で",/ˈoʊvər ðɛr/,239719,Please wait over there.,そちらでお待ちください。,3007227
,,,,the case,"（物事の）事実, 実情, 真相 / 《that is ~》そうした事情なので；その通りです / 《If that is ~》もしそうであれば",,"（物事の）事実, 実情, 真相 / 《that is ~》そうした事情なので；その通りです / 《If that is ~》もしそうであれば",/ðə keɪs/,239633,That is not the case in Japan.,日本はそうではない。,47663
,,,,take up,"（特定の量の時間や労力など）を使う / を議論する,を対処する / （喜びのために）を始める / を取り上げる,を上げる/（時間・場所など）を占める",,"（特定の量の時間や労力など）を使う / を議論する,を対処する / （喜びのために）を始める / を取り上げる,を上げる/（時間・場所など）を占める",/teɪk ʌp/,239634,I don't want to take up too much of your time.,あまりあなたの時間を取らせたくありません。,3007149
,,,,and so on,などなど,,などなど,/ænd soʊ ɑn/,239641,"I enjoy various outdoor activities such as hiking, camping, and so on.",私はハイキングやキャンプなど、さまざまなアウトドア活動を楽しんでいます。,3007156
,,,,come on,"《話》急げ / おいで / （励まして）さあ,がんばれ,大丈夫だ / （納得がいかなくて）おいおい / （ねだって）お願いだよ / （挑発して）さあ来い / （明かりが）つく",,"《話》急げ / おいで / （励まして）さあ,がんばれ,大丈夫だ / （納得がいかなくて）おいおい / （ねだって）お願いだよ / （挑発して）さあ来い / （明かりが）つく",/kʌm ɒn/,239642,"Come on, we're going to be late!",急いで、遅れるよ！,3007153
,,,,work out,"を理解する,をよく考える,を計画する / （身体を）鍛える / 《良くあるいは悪く》起こる,発展する《well / badly 》/ 成功することを証明する",,"を理解する,をよく考える,を計画する / （身体を）鍛える / 《良くあるいは悪く》起こる,発展する《well / badly 》/ 成功することを証明する",/wɜːrk aʊt/,239644,I need to work out the math problem.,私はその数学の問題を理解する必要があります。,3007157
,,,,at first,"（後の状況と対比させて）初めのうちは, 最初は",,"（後の状況と対比させて）初めのうちは, 最初は",/æt fɜːrst/,239652,"At first, I was nervous about starting a new job.",初めのうちは新しい仕事を始めることに緊張していました。,3007169
,,,,in favour,"《...に》賛成で《of ...》 / 《...に》人気のある,気に入られて《with ...》",,"《...に》賛成で《of ...》 / 《...に》人気のある,気に入られて《with ...》",/ɪn ˈfeɪvə/,239654,I am in favour of the new policy.,私は新しい政策に賛成です。,3007166
,,,,give up,"をやめる,を放棄する,を諦める",,"をやめる,を放棄する,を諦める",/ɡɪv ʌp/,239655,I will never give up on my dreams.,私は自分の夢を決して諦めません。,3007167
,,,,go back,《...に》戻る《to ...》、遡る,,《...に》戻る《to ...》、遡る,/ɡoʊ bæk/,239660,I need to go back to my hometown.,私は故郷に戻る必要があります。,3007175
,,,,in time,"《…に》 間に合うように《to do/for》/ 《just ~》ちょうど間に合って / やがては, そのうちに, いずれ",,"《…に》 間に合うように《to do/for》/ 《just ~》ちょうど間に合って / やがては, そのうちに, いずれ",/ɪn taɪm/,239671,I need to finish my work in time for the meeting.,ミーティングに間に合うように仕事を終わらせる必要があります。,3007185
,,,,or so,"〜くらい《くだけて》 （数詞）〜かそこらの, …ばかり, …ほど",,"〜くらい《くだけて》 （数詞）〜かそこらの, …ばかり, …ほど",/ɔr soʊ/,239653,I have been waiting for about an hour or so.,私は1時間くらい待っています。,3007165
,,,,as for,"（人･事･物）については, ...はというと",,"（人･事･物）については, ...はというと",/æz fɔr/,239689,"[[As for]] the meeting, we will discuss the agenda tomorrow.",会議については、明日アジェンダを話し合います。,3007201
,,,,in the way,"道をふさいで, じゃまになって",,"道をふさいで, じゃまになって",/ɪn ðə weɪ/,239698,He parked his car in the way.,彼は車を道をふさいで駐車した。,3007206
,,,,in place,"（計画・事などが）うまくいって / 準備が整って /  （法律が）施行されて / 正しい位置に,所定の位置に",,"（計画・事などが）うまくいって / 準備が整って /  （法律が）施行されて / 正しい位置に,所定の位置に",/ɪn pleɪs/,239712,"[[There we go]], the final piece of the puzzle is now [[in place]].",よし、これでパズルの最後のピースが揃いましたね。,1627407
,,,,full-time,"全時間働く,全時間学ぶ, 専任の, 常勤の",,"全時間働く,全時間学ぶ, 専任の, 常勤の",/fʊl taɪm/,239714,When are you going to hire me full-time?,いつから私を常勤にしてくれますか？,4754116
,,,,sort out,"を整理する, を分類する / を明らかにする,を解決する",,"を整理する, を分類する / を明らかにする,を解決する",/sɔrt aʊt/,239715,I need to sort out my closet.,私はクローゼットを整理する必要があります。,3007222
,,,,in a way,ある意味では,,ある意味では,/ɪn ə weɪ/,239716,"In a way, he is right.",ある意味では、彼は正しい。,3007225
,,,,on behalf of,"（人）の代理で,（団体）を代表して / （人など）のために",,"（人）の代理で,（団体）を代表して / （人など）のために",/ɒn bɪˈhælf ɒv/,239718,She signed the contract [[on behalf of]] her boss.,彼女は上司の代理として契約書にサインしました。,3007228
,,,,that's it,"《話》（話の最後で）以上です, それで全部です / 《励まし》いいぞ, その調子 / 《発見》そうそれだ / 《賛意》そうです, その通り / そこが問題なんだ",,"《話》（話の最後で）以上です, それで全部です / 《励まし》いいぞ, その調子 / 《発見》そうそれだ / 《賛意》そうです, その通り / そこが問題なんだ",/ðæts ɪt/,239721,And that's it.,それで以上です。,3007229
,,,,oh no,"《落胆・怒り》しまった, あーあ / 《同情》あらまぁ / 《驚き》ああ！",,"《落胆・怒り》しまった, あーあ / 《同情》あらまぁ / 《驚き》ああ！",/əʊ nəʊ/,239723,"Oh no, I forgot my wallet at home.",ああ、しまった。家に財布を忘れてきてしまった。,3007232
,,,,one another,お互いに,,お互いに,/wʌn əˈnʌðər/,239726,They help [[one another]] in times of need.,彼らはお互いに必要な時に助け合います。,3007235
,,,,as follows,"次のように,以下の通りに",,"次のように,以下の通りに",/əz ˈfɒ.loʊz/,239727,Please follow the instructions as follows.,次のように指示に従ってください。,3007234
,,,,the above,"（同じ文書･ページ中で）上記のこと, 上述のこと",,"（同じ文書･ページ中で）上記のこと, 上述のこと",/ðə əˈbʌv/,239728,Please refer to the above section for more information.,詳細については、上記のセクションを参照してください。,3007238
,,,,part time,"【形】パートタイムの, 非常勤の, 定時制の【副】パートタイムで, 非常勤で",,"【形】パートタイムの, 非常勤の, 定時制の【副】パートタイムで, 非常勤で",/pɑrt taɪm/,239750,I work part time at a local cafe.,私は地元のカフェでパートタイムで働いています。,3007259
,,,,bound to,【動詞】〜する運命にある；〜することが確実である 、〜する義務がある【形容詞】確実な；避けられない,,【動詞】〜する運命にある；〜することが確実である 、〜する義務がある【形容詞】確実な；避けられない,/baʊnd tuː/,239753,I am bound to finish this project by tomorrow.,私は明日までにこのプロジェクトを終わらせる義務があります。,3007265
,,,,turn on,"（電気･ガス･エアコンなど）をつける /（水・ガスなどが）出る, 明かりがつく / （人）をわくわくさせる",,"（電気･ガス･エアコンなど）をつける /（水・ガスなどが）出る, 明かりがつく / （人）をわくわくさせる",/tɜːrn ɒn/,239754,Please turn on the lights.,電気をつけてください。,3007261
,,,,set to,"（仕事など）を始める, にとりかかる / ...に向かう / 《be ~ 》...することになっている",,"（仕事など）を始める, にとりかかる / ...に向かう / 《be ~ 》...することになっている",/sɛt tu/,239755,I am going to set to work on my project.,私はプロジェクトに取り掛かる予定です。,3007264
,,,,in contrast,"対照的に, 対して / 《...と》比べて《to ...》",,"対照的に, 対して / 《...と》比べて《to ...》",/ɪn ˈkɒntrɑːst/,239757,"In contrast, she prefers to stay at home and read a book.",対照的に、彼女は家にいて本を読むことを好む。,3007267
,,,,this stage,《at ~》現在のところ / 《in ~》この段階において,,《at ~》現在のところ / 《in ~》この段階において,/ðɪs steɪdʒ/,239758,"At this stage in the competition, the athletes were growing increasingly nervous as they prepared for their final performances.",競技のこの段階で、選手たちは最後の演技に向けて緊張を高めていました。,1627795
,,,,all but,"...のほかは全員, ...のほかは全部 / ほとんど, おおむね / ...も同然で",,"...のほかは全員, ...のほかは全部 / ほとんど, おおむね / ...も同然で",/ɔːl bʌt/,239759,All but one person attended the meeting.,会議には1人を除いて全員が参加しました。,3007266
,,,,above all,"何よりも（重要なのは）, とりわけ, 中でも",,"何よりも（重要なのは）, とりわけ, 中でも",/əˈbʌv ɔːl/,239760,"Above all, remember to be kind to others.",何よりも、他人に親切にすることを忘れないでください。,3007270
,,,,follow up,"《…を》 引き続き調べる, 追求する, 究明する 《on》",,"《…を》 引き続き調べる, 追求する, 究明する 《on》",/fɒloʊ ʌp/,239767,I will follow up with the customer to address their concerns.,顧客の懸念事項に対処するために引き続きフォローアップします。,3007279
,,,,found to,《be ~ 》...することが明らかになる《do》,,《be ~ 》...することが明らかになる《do》,/faʊnd tuː/,239769,The missing keys were found to be in the drawer.,紛失していた鍵が引き出しの中にあることが明らかになりました。,3007278
,,,,hang on,"じっと待つ,《くだけた話》ちょっと待って / 《...に》しがみつく,くっついている《to ...》,手放さない",,"じっと待つ,《くだけた話》ちょっと待って / 《...に》しがみつく,くっついている《to ...》,手放さない",/hæŋ ɑn/,239771,"Hang on, I'll be right back.",ちょっと待って、すぐ戻ります。,3007280
,,,,turn into,"...に変わる, ...へと転じる, ...へと変質する",,"...に変わる, ...へと転じる, ...へと変質する",/tɜːrn ˈɪntuː/,239772,I will turn into a butterfly.,私は蝶に変わります。,3007277
,,,,by now,《推量》今ごろはもう / 《過去形と共に》そのころにはもう,,《推量》今ごろはもう / 《過去形と共に》そのころにはもう,/baɪ naʊ/,239774,"By now, he should have arrived at the airport.",今ごろ彼は空港に到着しているはずです。,3007283
,,,,think so,"そう思う, そのように考える",,"そう思う, そのように考える",/θɪŋk soʊ/,239775,I think so.,そう思います。,3007282
,,,,would say,私の考えでは...だと思う / 私の意見では... / ...と言ってもよい / まあ...でしょうね,,私の考えでは...だと思う / 私の意見では... / ...と言ってもよい / まあ...でしょうね,/wʊd seɪ/,239768,I [[would say]] that it's going to rain tomorrow.,私の考えでは、明日は雨が降ると思います。,3007275
,,,,in accordance with,"...に従って, ...に一致して",,"...に従って, ...に一致して",/ɪn əˈkɔːr.dəns wɪθ/,239779,We will proceed in accordance with the rules.,私たちはルールに従って進めます。,3007287
,,,,call on,"（人）を訪問する / 《…を》（正式に）（人）に頼む, に求める《for ...》 / 《…してくれるように》（人）に頼む, に求める《to do》",,"（人）を訪問する / 《…を》（正式に）（人）に頼む, に求める《for ...》 / 《…してくれるように》（人）に頼む, に求める《to do》",/kɔːl ɒn/,239780,I will call on my friend tomorrow.,明日、私は友達を訪問します。,3007288
,,,,at times,"ときどき, 時には",,"ときどき, 時には",/æt taɪmz/,239781,I like to go for a walk at times.,ときどき散歩に行くのが好きです。,3007289
,,,,in effect,"【副】実際には,事実上は【形】（法律･制度などが）発効して, 実施されて",,"【副】実際には,事実上は【形】（法律･制度などが）発効して, 実施されて",/ɪn ɪˈfɛkt/,239783,The new policy will come into effect next month.,新しい政策は来月から実際には施行されます。,3007293
,,,,in question,"《名詞の後》当該の, 話題にしている（人・事件） / 《be ~》...が疑わしい / 問題になっている",,"《名詞の後》当該の, 話題にしている（人・事件） / 《be ~》...が疑わしい / 問題になっている",/ɪn ˈkwɛs.tʃən/,239798,When energy supplies are in question all that depends on them is also in question.,エネルギーの供給が問題になるとそれに依存するすべてのものもまた問題になる。,139618
,,,,in the first place,"《順序》まず第一に, まず始めに / 《非難･いらだち》そもそも, 元はといえば",,"《順序》まず第一に, まず始めに / 《非難･いらだち》そもそも, 元はといえば",/ɪn ðə fɜrst pleɪs/,239799,"[[In the first place]], I need to finish my homework.",まず第一に、宿題を終わらせる必要があります。,3007309
,,,,prove to be,...であることが判明する,,...であることが判明する,/pruːv tuː biː/,239800,The new evidence will prove to be crucial in solving the case.,新しい証拠は事件の解決において重要であることが判明するだろう。,3007308
,,,,all the way,"ずっと, はるばる / 完全に, すっかり",,"ずっと, はるばる / 完全に, すっかり",/ɔːl ðə weɪ/,239782,I walked all the way to the top of the mountain.,私は山の頂上までずっと歩きました。,3007290
,,,,at this point,"現在のところ, 今や / 現段階では / この場所で",,"現在のところ, 今や / 現段階では / この場所で",/æt ðɪs pɔɪnt/,239803,"At this point, we don't have enough information to make a decision.",現時点では、十分な情報がないため、決定することができません。,3007312
,,,,if only,"《願望・後悔》...であればなあ, ...でありさえすればなあ / 【名】あのときああしておけばという後悔の念",,"《願望・後悔》...であればなあ, ...でありさえすればなあ / 【名】あのときああしておけばという後悔の念",/ɪf ˈoʊnli/,239806,"If only I had studied harder, I would have passed the exam.",もしもっと一生懸命勉強していれば、試験に合格していたのに。,3007315
,,,,hand over,"《...に》を手渡す《to ...》 / 《...に》を引き渡す,を譲り渡す《to ...》",,"《...に》を手渡す《to ...》 / 《...に》を引き渡す,を譲り渡す《to ...》",/hænd ˈoʊvər/,239809,Please hand over the documents to the receptionist.,受付の人に書類を手渡してください。,3007316
,,,,in the light of,"（ある情報）に照らして, ...を考慮して.",,"（ある情報）に照らして, ...を考慮して.",/ɪn ðə laɪt əv/,239810,"In the light of recent developments, we have decided to change our strategy.",最近の動向を考慮して、戦略を変更することにしました。,3007318
,,,,the extent to which,"...する度合い, ...する程度",,"...する度合い, ...する程度",/ðə ɪkˈstɛnt tu wɪtʃ/,239813,The extent to which the pandemic has disrupted global economies is still incomprehensible to many.,パンデミックが世界経済をどれほど混乱させたかは、まだ多くの人にとって理解できない。,3010099
,,,,for some time,"しばらくの間, かなり長い間 / これまでかなりの期間《now》/ ここしばらくの間ずっと《past》",,"しばらくの間, かなり長い間 / これまでかなりの期間《now》/ ここしばらくの間ずっと《past》",/fɔːr sʌm taɪm/,239814,I haven't seen him for some time.,しばらくの間彼に会っていません。,3007322
,,,,in return,"《...の》お返しに, 返事として《for ...》 / 《...の》代わりに《for ...》",,"《...の》お返しに, 返事として《for ...》 / 《...の》代わりに《for ...》",/ɪn rɪˈtɜrn/,239815,"I helped him move, and in return, he helped me paint my house.",私は彼が引っ越しを手伝ったので、お返しに彼は私の家を塗る手伝いをしてくれました。,3007324
,,,,oh dear,"《驚く》あら, まあ / 《残念》 やれやれ,あらら",,"《驚く》あら, まあ / 《残念》 やれやれ,あらら",/əʊ dɪə/,239818,"Oh dear, I forgot to bring my wallet.",あら、財布を持ってくるのを忘れてしまったわ。,3007325
,,,,in full,"（支払などの）全額で / 完全に, 完全な形で,まんべんなく",,"（支払などの）全額で / 完全に, 完全な形で,まんべんなく",/ɪn fʊl/,239819,I paid the bill in full.,私は支払いを全額で行いました。,3007326
,,,,to some extent,ある程度,,ある程度,/tu sʌm ɪkˈstɛnt/,239821,"To some extent, I understand what you're saying.",ある程度、あなたの言っていることが理解できます。,3007328
,,,,some kind of,"《話》 大した（人・物）, すごい..., なかなかの...",,"《話》 大した（人・物）, すごい..., なかなかの...",/sʌm kaɪnd ʌv/,239822,He is some kind of genius.,彼は大した天才だ。,3007330
,,,,keep up,"《...に》遅れずについていく, 《...と》同じ割合で増える《with ...》/ を続ける,を維持する",,"《...に》遅れずについていく, 《...と》同じ割合で増える《with ...》/ を続ける,を維持する",/kiːp ʌp/,239823,I need to keep up with the latest technology trends.,最新の技術トレンドに遅れずについていかなければならない。,3007333
,,,,no idea,"《くだけて》全然知りません, さあ /《have ~》全く分からない, 見当もつかない",,"《くだけて》全然知りません, さあ /《have ~》全く分からない, 見当もつかない",/nəʊ aɪˈdɪə/,239824,I have no idea what you're talking about.,何を話しているのか全然わからない。,3007332
,,,,hold that,"...と考える, ...と判断する /《be ~》...と考えられている /《It is widely [generally, commonly] ~ 》...と一般的に考えられている",,"...と考える, ...と判断する /《be ~》...と考えられている /《It is widely [generally, commonly] ~ 》...と一般的に考えられている",/hɛld ðæt/,239827,The court held that the defendant was not guilty.,裁判所は被告人が無罪であると判断した。,3007335
,,,,faced with,"《be ~ 》...に直面している, ...と向かい合っている",,"《be ~ 》...に直面している, ...と向かい合っている",/feɪst wɪð/,239828,She was faced with a difficult decision.,彼女は難しい決断に直面していました。,3007336
,,,,yet to,《be ~ 》いまだ...されない,,《be ~ 》いまだ...されない,/jɛt tuː/,239807,I have yet to visit Japan.,私はいまだに日本を訪れていません。,3007314
,,,,put forward,"（考え･計画など）を提案する, を示す, を提出する",,"（考え･計画など）を提案する, を示す, を提出する",/pʊt ˈfɔːrwərd/,239831,He put forward a new idea during the meeting.,彼は会議中に新しいアイデアを提案しました。,3007340
,,,,from time to time,"ときどき, 時折",,"ときどき, 時折",/frɒm taɪm tuː taɪm/,239832,I like to go hiking from time to time.,私はときどきハイキングに行くのが好きです。,3007339
,,,,the means,"《…の / …する》手段, 方法 《of ... / to do》",,"《…の / …する》手段, 方法 《of ... / to do》",/ðə minz/,239833,The means of transportation in this city are very efficient.,この都市の交通手段は非常に効率的です。,3007342
,,,,ever since,《副詞的に》それ以後ずっと /  《前置詞･接続詞的に》…してからずっと,,《副詞的に》それ以後ずっと /  《前置詞･接続詞的に》…してからずっと,/ˈɛvər sɪns/,239834,I have been studying English ever since I moved to the United States.,私はアメリカに引っ越してからずっと英語の勉強をしています。,3007343
,,,,as opposed to,"...とは違って / ...とは反対に, ...とは対照的に",,"...とは違って / ...とは反対に, ...とは対照的に",/æz əˈpoʊzd tuː/,239836,"I enjoy cooking, [[as opposed to]] my sister who hates it.",料理が嫌いな妹とは対照的に、私は料理が好きです。,3007344
,,,,for long,《通例否定文･疑問文で》長い間,,《通例否定文･疑問文で》長い間,/fɔr lɔŋ/,239850,I haven't seen him for long.,私は長い間彼に会っていません。,3007354
,,,,some more,"もう少し, もうちょっと",,"もう少し, もうちょっと",/sʌm mɔːr/,239852,I need some more time to finish the project.,プロジェクトを終わらせるためにもう少し時間が必要です。,3007359
,,,,in the absence of,"...がない場合は, ...がいないときは",,"...がない場合は, ...がいないときは",/ɪn ðə ˈæbsəns ɒv/,239853,"In the absence of a clear plan, the project was doomed to fail.",明確な計画がない場合、プロジェクトは失敗する運命にあった。,3007363
,,,,all sorts of," あらゆる..., いろいろな種類の..., 多くの... / いくらでも...がある /《~ things》なんでもかんでも",," あらゆる..., いろいろな種類の..., 多くの... / いくらでも...がある /《~ things》なんでもかんでも",/ɔːl sɔːrts ɒv/,239854,I enjoy trying all sorts of new foods.,私はあらゆる種類の新しい食べ物を試すのが好きです。,3007362
,,,,no good,"【形】だめな / 役に立たない【名/C】《くだけて》 だめな人,だめなもの / 役立たず,能無し",,"【形】だめな / 役に立たない【名/C】《くだけて》 だめな人,だめなもの / 役立たず,能無し",/nəʊ ɡʊd/,239856,This cake is no good.,このケーキはだめです。,3007360
,,,,in the face of,（問題・困難・危険など）に直面して,,（問題・困難・危険など）に直面して,/ɪn ðə feɪs ʌv/,239868,"In the face of adversity, she remained strong and determined.",困難に直面しても、彼女は強く決意を持ち続けました。,3007375
,,,,next door,"隣の, 隣の家の,隣の建物の / ほとんど...だ《to ...》",,"隣の, 隣の家の,隣の建物の / ほとんど...だ《to ...》",/nɛkst dɔr/,239870,They are next door neighbors.,彼らはお隣同士です。,23859
,,,,make one’s way,【熟語】進む、進路を取る,,【熟語】進む、進路を取る,/meɪk wʌnz weɪ/,239872,She made her way through the crowded street.,彼女は混雑した通りを進んでいった。,1633602
,,,,in hand,"手元に, 手元の, 手に",,"手元に, 手元の, 手に",/ɪn hænd/,239873,I have the document in hand.,私は手元に文書を持っています。,3007378
,,,,on the one hand,一方では ,,一方では ,/ɒn ðə wʌn hænd/,239883,"On the one hand, I want to go on vacation, but on the other hand, I have a lot of work to do.",一方では、私は休暇に行きたいですが、他方では、たくさんの仕事があります。,3007390
,,,,on the road,"路上で, 道路に出て / 旅行中で, 出張中で, 巡業中で / （車が）走行可能な, 走れる / 《…への》 途中にある, 途中である 《to ...》",,"路上で, 道路に出て / 旅行中で, 出張中で, 巡業中で / （車が）走行可能な, 走れる / 《…への》 途中にある, 途中である 《to ...》",/ɒn ðə rəʊd/,239885,I saw a car accident on the road.,私は路上で車の事故を見ました。,3007389
,,,,even so,"そうは言っても, だからって,たとえそうであっても / それにもかかわらず",,"そうは言っても, だからって,たとえそうであっても / それにもかかわらず",/ˈiːvən səʊ/,239892,"Even so, I will always support you.",それでも私はいつもあなたを応援します。,3007397
,,,,come across,"（偶然）〈人〉に出くわす, 〈事・物〉を見つける, 《 ~ ... doing》...が...しているのに出くわす / （表現などを通して気持ちや考えが）伝わる, 理解される",,"（偶然）〈人〉に出くわす, 〈事・物〉を見つける, 《 ~ ... doing》...が...しているのに出くわす / （表現などを通して気持ちや考えが）伝わる, 理解される",/kʌm əˈkrɔːs/,239893,I came across my old friend at the grocery store.,食料品店で昔の友達に会った。,3007399
,,,,first of all,"まず第一に, 何よりもまず",,"まず第一に, 何よりもまず",/fɜrst əv ɔːl/,239894,"First of all, let me introduce myself.",まず第一に、自己紹介させてください。,3007398
,,,,limited to,"《be ~》...に限定される, ...に限られる",,"《be ~》...に限定される, ...に限られる",/lɪmɪtɪd tuː/,239896,The options are limited to three.,選択肢は3つに制限されています。,1665453
,,,,mind you,"いいかい, よく聞いてよ / でもね, でも断っておくけど, 念のため言っておくけど / 一言付け加えておくと, ちなみに / 気をつけろ",,"いいかい, よく聞いてよ / でもね, でも断っておくけど, 念のため言っておくけど / 一言付け加えておくと, ちなみに / 気をつけろ",/maɪnd juː/,239898,"Mind you, I have my doubts about his story.",いいかい、彼の話には疑問がありますよ。,3007406
,,,,at a time,"一度に, 連続して",,"一度に, 連続して",/æt ə taɪm/,239899,I can only do one task [[at a time]].,私は一度に一つのタスクしかできません。,3007401
,,,,half past,"...時半, ...時30分すぎ",,"...時半, ...時30分すぎ",/hæf pæst/,239900,It's half past six.,6時半です。,3007402
,,,,consistent with,一致する / 一貫した,,一致する / 一貫した,/kənˈsɪstənt wɪθ/,239902,Your report is not consistent with the facts we have.,あなたのレポートは、私たちが持っている事実と一致していません。,3010291
,,,,act on,"...に従って行動する,  ...に基づいて行動する, ...について決定を下す",,"...に従って行動する,  ...に基づいて行動する, ...について決定を下す",/ækt ɒn/,239908,It is important to act on your principles.,自分の原則に従って行動することは重要です。,3007412
,,,,except that,...であることを除いては,,...であることを除いては,/ɪkˈsɛpt ðæt/,239909,"I like all fruits, except that I don't like bananas.",私はすべての果物が好きですが、バナナは好きではありません。,3007413
,,,,as usual,"いつもどおり, いつものように / 相変わらず, 従来どおり",,"いつもどおり, いつものように / 相変わらず, 従来どおり",/æz ˈjuʒuəl/,239911,I woke up early and started my day as usual.,早起きして、いつもどおりに一日を始めました。,3007415
,,,,long before,"（時間的に）...よりずっと前に, ...よりかなり以前に",,"（時間的に）...よりずっと前に, ...よりかなり以前に",/lɔŋ bɪˈfɔːr/,239912,"Long before I was born, my grandparents had already retired.",私が生まれるずっと前に、祖父母は既に退職していました。,3007418
,,,,long ago,"【形】ずっと昔の, ずっと以前の, 遠い昔の【副】ずっと以前に",,"【形】ずっと昔の, ずっと以前の, 遠い昔の【副】ずっと以前に",/lɔŋ əˈɡoʊ/,239913,"Long ago, there was a beautiful princess who lived in a castle.",ずっと昔、美しい王女が城に住んでいました。,3007417
,,,,up to date,"最新の情報を含んだ / 《be ~》《…について》最新の情報に通じて《with ..., on ...》 / 最新式の, 現代的な, 今風の",,"最新の情報を含んだ / 《be ~》《…について》最新の情報に通じて《with ..., on ...》 / 最新式の, 現代的な, 今風の",/ʌp tu deɪt/,239915,I always make sure to keep my knowledge up to date.,私は常に最新の知識を持つようにしています。,3007419
,,,,let alone,"《否定的文脈で》まして…ない, ...は言うまでもなく, ...はおろか, ...はもちろん",,"《否定的文脈で》まして…ない, ...は言うまでもなく, ...はおろか, ...はもちろん",/lɛt əˈloʊn/,239916,"I can't even afford a car, let alone a house.",家はおろか、車も買えない。,3007420
,,,,quite a lot,"かなり多くの... / かなりの数の..., 相当な数の...《of ...》/ かなり頻繁に",,"かなり多くの... / かなりの数の..., 相当な数の...《of ...》/ かなり頻繁に",/kwaɪt ə lɒt/,239917,I have quite a lot of books in my collection.,私のコレクションにはかなり多くの本があります。,3007421
,,,,if you like,"《提案・申し出》もしよろしければ, あなたが望むなら / 《換言》たとえて言うなら,言ってみれば",,"《提案・申し出》もしよろしければ, あなたが望むなら / 《換言》たとえて言うなら,言ってみれば",/ɪf juː laɪk/,239918,"If you like, I can make a suggestion.",《提案・申し出》もしよろしければ、私が提案をします。,3007422
,,,,to the extent,【前置詞】〜の程度まで / 【成句】〜の範囲内で,,【前置詞】〜の程度まで / 【成句】〜の範囲内で,/tuː ðə ɪkˈstɛnt/,239919,I will help you to the extent that I can.,私はできる限りの範囲であなたを助けます。,3007423
,,,,in line with,"...と一致して, ...と合致して / （規則・慣習など）に従って, ...に沿って",,"...と一致して, ...と合致して / （規則・慣習など）に従って, ...に沿って",/ɪn laɪn wɪθ/,239922,His actions are not in line with his words.,彼の行動は彼の言葉と一致していない。,3007424
,,,,on the whole,"全体としては, 全体的に見ると, 概して",,"全体としては, 全体的に見ると, 概して",/ɒn ðə həʊl/,239923,"On the whole, I think the project was a success.",全体としては、私はプロジェクトが成功だったと思います。,3007427
,,,,fill in,"《...の》代理になる《for ...》 / 《…について》（人）に詳細を伝える《on ...》 / を埋める,をふさぐ,を塗りつぶす,を書き入れる",,"《...の》代理になる《for ...》 / 《…について》（人）に詳細を伝える《on ...》 / を埋める,をふさぐ,を塗りつぶす,を書き入れる",/fɪl ɪn/,239929,I will fill in for you while you're on vacation.,あなたが休暇中は私が代理を務めます。,3007431
,,,,a question of,【フレーズ】〜の問題,,【フレーズ】〜の問題,/ə ˈkwɛs.tʃən əv/,239931,It's [[a question of]] time before we solve this problem.,この問題を解決するのは時間の問題だ。,3010115
,,,,for life,"死ぬまで, 今後一生, 生涯",,"死ぬまで, 今後一生, 生涯",/fɔr laɪf/,239932,I will love you for life.,私は死ぬまであなたを愛します。,3007436
